Fire_ID,Fire_Name,Year,StartMonth,StartDay,FireType,Acres
AK5674215793820060522,MESHIK RIVER,2006,5,22,WF,1520
AK5759815753720050529,PILOT POINT,2005,5,29,WF,4482
AK5761615232120150828,TWIN CREEKS,2015,8,28,WF,3419
AK5884115754320150622,COPENHAGEN CREEK,2015,6,22,WF,5335
AK5884415640120150621,PAULS CREEK,2015,6,21,WF,9684
AK5890415740520150704,COPENHAGEN,2015,7,4,WF,3208
AK5899315855220121102,SNAKE RIVER,2012,11,2,WF,15244
AK5903315365920030428,KAMISHAK BAY,2003,4,28,WF,1526
AK5905715603519900719,ALAGNAK,1990,7,19,WF,1004
AK5919116014719910630,TWIN,1991,6,30,WF,11888
AK5925816024020150622,GECHIAK LAKE,2015,6,22,WF,16920
AK5955415836020150711,LITTLE KOKWOK,2015,7,11,WF,2234
AK5960815825420150621,KOKWOK RIVER,2015,6,21,WF,1924
AK5975315141520050429,TRACY AVE,2005,4,29,WF,5697
AK5978615491320030523,ILIAMNA,2003,5,23,WF,5295
AK6000115759420130728,NUYAKUK RIVER,2013,7,28,WF,2497
AK6002415119720070619,CARIBOU HILLS,2007,6,19,WF,46686
AK6011915081019940830,WINDY POINT,1994,8,30,WF,2689
AK6012815061920040814,GLACIER CREEK,2004,8,14,WF,5230
AK6015015550020130619,NIKUBUMA LAKE,2013,6,19,WF,9085
AK6015115098020050711,FOX CREEK WFU,2005,7,11,WFU,25577
AK6025715983220150620,LITTLE SWIFT CREEK,2015,6,20,WF,1617
AK6027615391520130627,CURRANT CREEK,2013,6,27,WF,1986
AK6030315782720150623,KING SALMON RIVER 1,2015,6,23,WF,2419
AK6037615081420090630,SHANTA CREEK,2009,6,30,WFU,14474
AK6038615043820070729,SWAN LAKE,2007,7,29,RX,1986
AK6040215016520050706,IRISH CHANNEL,2005,7,6,WFU,1067
AK6041514945920010625,KENAI LAKE,2001,6,25,WF,3319
AK6041515002719910519,POTHOLE,1991,5,19,WF,8769
AK6041715053220050626,KING COUNTY CREEK,2005,6,26,WF,10124
AK6042816107220100531,HAWK RIVER,2010,5,31,RX,5712
AK6043915096220140520,FUNNY RIVER,2014,5,20,WF,193799
AK6051015063620150615,CARD STREET,2015,6,15,WF,7367
AK6070715747820150622,CHICHITNOK RIVER,2015,6,22,WF,4628
AK6071715870020150624,GEMUK RIVER,2015,6,24,WF,1002
AK6077715779519890703,SHOTGUN DR.,1989,7,3,WF,5470
AK6078416129320150624,KWETHLUK RIVER 2,2015,6,24,WF,23912
AK6089416075820150620,FOG RIVER,2015,6,20,WF,39019
